pattern;theoretical_intensity;my_kappa;my_mu;my_scale;expect_disp_ind
int1_disp1;1;NA;NA;NA;1
int2_disp1;2;NA;NA;NA;1
int3_disp1;3;NA;NA;NA;1
int4_disp1;4;NA;NA;NA;1
int5_disp1;5;NA;NA;NA;1
int6_disp1;6;NA;NA;NA;1
int7_disp1;7;NA;NA;NA;1
int8_disp1;8;NA;NA;NA;1
int9_disp1;9;NA;NA;NA;1
int10_disp1;10;NA;NA;NA;1
int11_disp1;11;NA;NA;NA;1
int12_disp1;12;NA;NA;NA;1
int13_disp1;13;NA;NA;NA;1
int14_disp1;14;NA;NA;NA;1
int15_disp1;15;NA;NA;NA;1
int16_disp1;16;NA;NA;NA;1
int17_disp1;17;NA;NA;NA;1
int18_disp1;18;NA;NA;NA;1
int19_disp1;19;NA;NA;NA;1
int20_disp1;20;NA;NA;NA;1
int21_disp1;21;NA;NA;NA;1
int22_disp1;22;NA;NA;NA;1
int23_disp1;23;NA;NA;NA;1
int24_disp1;24;NA;NA;NA;1
int25_disp1;25;NA;NA;NA;1
int26_disp1;26;NA;NA;NA;1
int27_disp1;27;NA;NA;NA;1
int28_disp1;28;NA;NA;NA;1
int29_disp1;29;NA;NA;NA;1
int30_disp1;30;NA;NA;NA;1
